ledger_entry_id,entry_date,amount,currency,description,account_id,entry_type,reference_id
L0001,2024-01-01,150.00,USD,Customer payment recorded,A001,credit,T0001
L0002,2024-01-01,-25.00,USD,Vendor payout recorded,A001,debit,T0002
L0003,2024-01-01,320.00,USD,Customer payment recorded,A002,credit,T0003
L0004,2024-01-01,-50.00,USD,Refund issued,A003,debit,T0004
L0005,2024-01-01,210.00,USD,Customer payment recorded,A004,credit,T0005
L0006,2024-01-01,450.00,USD,Customer payment recorded,A005,credit,T0006
L0007,2024-01-02,-75.00,USD,Vendor payout recorded,A001,debit,T0007
L0008,2024-01-02,180.00,USD,Customer payment recorded,A002,credit,T0008
L0009,2024-01-02,-40.00,USD,Refund issued,A003,debit,T0009
L0010,2024-01-02,500.00,USD,Customer payment recorded,A004,credit,T0010
L0011,2024-01-02,-120.00,USD,Vendor payout recorded,A005,debit,T0011
L0012,2024-01-03,250.00,USD,Customer payment recorded,A001,credit,T0012
L0013,2024-01-03,300.00,USD,Customer payment recorded,A002,credit,T0013
L0014,2024-01-03,-60.00,USD,Refund issued,A003,debit,T0014
L0015,2024-01-03,700.00,USD,Customer payment recorded,A004,credit,T0015
L0016,2024-01-03,-150.00,USD,Vendor payout recorded,A005,debit,T0016
L0017,2024-01-04,175.00,USD,Customer payment recorded,A001,credit,T0017
L0018,2024-01-04,-80.00,USD,Vendor payout recorded,A002,debit,T0018
L0019,2024-01-04,260.00,USD,Customer payment recorded,A003,credit,T0019
L0020,2024-01-04,900.00,USD,Customer payment recorded,A004,credit,T0020
L0021,2024-01-04,-200.00,USD,Vendor payout recorded,A005,debit,T0021
L0022,2024-01-05,190.00,USD,Customer payment recorded,A001,credit,T0022
L0023,2024-01-05,-45.00,USD,Refund issued,A002,debit,T0023
L0024,2024-01-05,330.00,USD,Customer payment recorded,A003,credit,T0024
L0025,2024-01-05,650.00,USD,Customer payment recorded,A004,credit,T0025
L0026,2024-01-05,-90.00,USD,Vendor payout recorded,A005,debit,T0026
L0027,2024-01-06,210.00,USD,Customer payment recorded,A001,credit,T0027
L0028,2024-01-06,400.00,USD,Customer payment recorded,A002,credit,T0028
L0029,2024-01-06,-70.00,USD,Refund issued,A003,debit,T0029
L0030,2024-01-06,800.00,USD,Customer payment recorded,A004,credit,T0030
L0031,2024-01-06,-110.00,USD,Vendor payout recorded,A005,debit,T0031
L0032,2024-01-07,220.00,USD,Customer payment recorded,A001,credit,T0032
L0033,2024-01-07,-55.00,USD,Vendor payout recorded,A002,debit,T0033
L0034,2024-01-07,350.00,USD,Customer payment recorded,A003,credit,T0034
